Date,Price,Open,High,Low,Vol.,Change %
01-01-2014,572.35,568.25,574,568.1,425.46K,0.86%
02-01-2014,573.85,572.1,585,570,1.31M,0.26%
03-01-2014,579.7,575,581.4,570,1.44M,1.02%
06-01-2014,588.25,583,590.85,579.45,1.83M,1.47%
07-01-2014,594.2,593,599,589.2,2.99M,1.01%
08-01-2014,600.9,600,610,598.35,2.43M,1.13%
09-01-2014,607,600.9,609.4,599.2,1.87M,1.02%
10-01-2014,609.4,607,617.7,605.1,2.55M,0.40%
13-01-2014,602.35,610,615.25,596.35,1.57M,-1.16%
14-01-2014,603.55,600,606.75,597.8,2.63M,0.20%
15-01-2014,603.5,604,610.95,601.15,1.58M,-0.01%
16-01-2014,592.75,604,606.25,590.35,905.32K,-1.78%
17-01-2014,594,591.75,600.5,590,1.28M,0.21%
20-01-2014,589.4,595,600,586,1.02M,-0.77%
21-01-2014,580.35,594,594,577.6,1.44M,-1.54%
22-01-2014,597.45,580.35,599.9,576.65,3.42M,2.95%
23-01-2014,609.35,598.55,612.5,598.55,2.95M,1.99%
24-01-2014,603.6,607.95,614.7,599,1.47M,-0.94%
27-01-2014,597.8,597.95,613.8,594.15,2.99M,-0.96%
28-01-2014,581.9,597.5,604.25,580.05,1.94M,-2.66%
29-01-2014,591.45,588,604.9,585.9,2.41M,1.64%
30-01-2014,593.6,592.95,599,580.25,1.44M,0.36%
31-01-2014,588.7,595.9,598.55,584,1.59M,-0.83%
03-02-2014,594.3,588.2,600.9,588.2,1.64M,0.95%
04-02-2014,587.75,594.35,594.35,584.2,1.87M,-1.10%
05-02-2014,583.6,587.85,596.5,583,2.30M,-0.71%
06-02-2014,584.9,587.85,592.9,581.5,1.77M,0.22%
07-02-2014,601.65,590.95,603.8,586.1,3.20M,2.86%
10-02-2014,611.65,605.5,614.7,604,1.47M,1.66%
11-02-2014,608.3,616.95,624.4,607,2.48M,-0.55%
12-02-2014,611.05,614,619.65,610,1.82M,0.45%
13-02-2014,615.3,615,623.2,610.3,3.14M,0.70%
14-02-2014,609.05,622.5,626.5,605.2,3.03M,-1.02%
17-02-2014,605.1,610,614.2,601.1,998.68K,-0.65%
18-02-2014,609.75,605,611.9,604,873.04K,0.77%
19-02-2014,623.3,613,625.7,611.2,2.16M,2.22%
20-02-2014,619.65,620.35,628.8,617.8,1.27M,-0.59%
21-02-2014,615.15,622,624.2,611.55,1.46M,-0.73%
24-02-2014,620.6,612,623.95,612,1.22M,0.89%
25-02-2014,619.05,622.5,624.9,616.2,1.20M,-0.25%
26-02-2014,628.1,622,634,620.7,1.92M,1.46%
28-02-2014,644.7,628.85,647.9,628.85,2.93M,2.64%
03-03-2014,625.1,649,653.35,622.55,1.84M,-3.04%
04-03-2014,619.4,625.15,628.8,616.35,1.54M,-0.91%
05-03-2014,623.7,625,627.7,620.05,1.05M,0.69%
06-03-2014,621,624.25,630,618.75,1.49M,-0.43%
07-03-2014,612.3,626,626,608.35,2.38M,-1.40%
10-03-2014,597,608,611.4,592.9,2.71M,-2.50%
11-03-2014,580.25,596,596,578,3.47M,-2.81%
12-03-2014,604.3,581.8,607.45,581.8,2.63M,4.14%
13-03-2014,572.95,610.85,610.85,565.5,8.06M,-5.19%
14-03-2014,582.05,570,583.75,552.55,7.12M,1.59%
18-03-2014,579.35,585,586,571.45,2.27M,-0.46%
19-03-2014,585.3,581.15,587.65,578,1.53M,1.03%
20-03-2014,590.2,581,595.9,581,2.14M,0.84%
21-03-2014,580.4,590.05,592.95,579.2,3.12M,-1.66%
22-03-2014,584.45,582,585.9,581,93.59K,0.70%
24-03-2014,579.3,580.05,587.8,579,2.24M,-0.88%
25-03-2014,579.3,581,585.9,575.1,1.85M,0.00%
26-03-2014,566.6,583.7,584,563.25,2.80M,-2.19%
27-03-2014,560.55,568.95,573.75,556,4.29M,-1.07%
28-03-2014,563.2,566,570.85,559.15,2.22M,0.47%
31-03-2014,574.75,568,577,566,2.39M,2.05%
01-04-2014,572.1,575,578,570.25,1.19M,-0.46%
02-04-2014,575.25,572,581.5,570.1,3.77M,0.55%
03-04-2014,578.55,578.35,582.8,575.2,2.44M,0.57%
04-04-2014,571.8,580,584.6,570.2,2.52M,-1.17%
07-04-2014,588.1,580,594.8,573.75,10.03M,2.85%
09-04-2014,630,597,634.9,593,13.26M,7.12%
10-04-2014,615.4,633.8,643,611,6.19M,-2.32%
11-04-2014,628.15,620,634.5,617.1,4.71M,2.07%
15-04-2014,616.4,632,633.9,614.5,2.74M,-1.87%
16-04-2014,613.85,617.4,623.7,612.1,1.79M,-0.41%
17-04-2014,625.05,614.5,626,614.1,2.03M,1.82%
21-04-2014,621.25,628.7,629.25,619.4,1.32M,-0.61%
22-04-2014,619.95,616.7,623.35,616.7,1.19M,-0.21%
23-04-2014,625.6,616.5,635,616.5,3.22M,0.91%
25-04-2014,622,627,632.7,621,1.46M,-0.58%
28-04-2014,636.65,621.1,638.8,621.1,2.31M,2.36%
29-04-2014,639.45,639,643.95,632.5,3.03M,0.44%
30-04-2014,632.8,628,637,622.45,2.05M,-1.04%
02-05-2014,629.9,631.6,641.4,628.6,1.53M,-0.46%
05-05-2014,626.6,622.3,634.9,622.3,1.36M,-0.52%
06-05-2014,626.1,627,629.9,620.2,960.26K,-0.08%
07-05-2014,630.75,625,637.5,623.75,1.77M,0.74%
